Segment,Version,MemberReference,EnquiryMemberID,SubjectReturnCode,EnquiryControlNumber,DateProcessed,TimeProcessed,name,DateofBirth,gender,ID_Type,ID_Number,Issue_Date,Expiration_Date,Enr_Enq_id,Telephone,Tel_Extn,Tel_Type,Enr_Enq_pt,email_id,account_type_empseg,datereported_employment,occupation_code,income,net_gross_indicator,monthly_annual_indicator,DateofEntry_ErrorCode_em,ErrorCode_em,Date_CIBILRemarksCode_em,CIBILRemarksCode_em,DisputeRemarksCode_em,DisputeRemarksCode1_em,DisputeRemarksCode2_em,Acct_number,scorename,ScoreCardName,ScoreCardVersion,ScoreDate,score,ExclusionCode1,ExclusionCode2,ExclusionCode3,ExclusionCode4,ExclusionCode5,ExclusionCode6,ExclusionCode7,ExclusionCode8,ExclusionCode9,ExclusionCode10,ReasonCode1,ReasonCode2,ReasonCode3,ReasonCode4,ReasonCode5,ErrorCode,address,StateCode,PINCode,address_cat,res_code,DateReported_address,MemberShortName,Enr_Enq_pa,ReportingMemberShortName,AccountNumber,AccountType,Live/Closed,OwnershipIndicator,DateOpenedDisbursed,DateofLastPayment,DateClosed,DateReported_trades,HighCreditSanctionedAmount,CurrentBalance,AmountOverdue,Paymt_hst_01,Paymt_hst_02,Paymt_hst_03,Paymt_hst_04,Paymt_hst_05,Paymt_hst_06,Paymt_hst_07,Paymt_hst_08,Paymt_hst_09,Paymt_hst_10,Paymt_hst_11,Paymt_hst_12,Paymt_hst_13,Paymt_hst_14,Paymt_hst_15,Paymt_hst_16,Paymt_hst_17,Paymt_hst_18,Paymt_hst_19,Paymt_hst_20,Paymt_hst_21,Paymt_hst_22,Paymt_hst_23,Paymt_hst_24,Paymt_hst_25,Paymt_hst_26,Paymt_hst_27,Paymt_hst_28,Paymt_hst_29,Paymt_hst_30,Paymt_hst_31,Paymt_hst_32,Paymt_hst_33,Paymt_hst_34,Paymt_hst_35,Paymt_hst_36,Pay_Hist_Start_Date,pay_hist_end_date,suit_filed_status,Credit_Facility_Status,collateral_type,collateral_value,credit_limit,cash_limit,ROI,tenure,emi_amt,writeoff_amt_tot,writeoff_amt_prin,settlement_amt,paymt_freq,actual_paymt_amt,DateofEntry_ErrorCode_tl,ErrorCode_tl,Date_CIBILRemarksCode_tl,CIBILRemarksCode_tl,DisputeRemarksCode_tl,DisputeRemarksCode1_tl,DisputeRemarksCode2_tl,DateofEnquiry,EnquiringMemberShortName,EnquiryPurpose,EnquiryAmount,DisputeRemarksLine1,DisputeRemarksLine2,DisputeRemarksLine3,DisputeRemarksLine4,DisputeRemarksLine5,DisputeRemarksLine6,Secured/Unsecured
TUEF,12,HF/0011/H/19/10001111,HF63511002,1,2924997108,5092023,11949,Sachin Tendulkar,1121970,1,1,ABCDEF6768F,,,,1111111111,,0,,abc@gmail.com,2,31072028,3,,,,,,,,,,,,CIBILTUMN,4,13,509201,850,,,,,,,,,,,,,1,,,,"602, 6th Floor, Zero One IT Park, Sr. No. 79/1, Ghorpadi, Mundhwa Road, Pune, Maharashtra 411036 · < 1 km",21,511980,3,1,7062021,,N,POONAHOU,LAP0632200000005009618,Housing Loan,Live,1,11-05-2023,7072023,,31072023,120000,119721,,0,0,0,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,1072023,1052023,,,1,,,,16,144,1879,,,,3,,,,,,,,,24-04-2022,POONAHOU,33,8888888,,,,,,,Secured
TUEF,12,HF/0011/H/19/10001111,HF63511002,1,2924997108,5092023,11949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"602, 6th Floor, Zero One IT Park, Sr. No. 79/1, Ghorpadi, Mundhwa Road, Pune, Maharashtra 411036 · < 1 km",23,511980,4,,5052021,,,POONAHOU,HF/0011/H/19/100002,Housing Loan,Live,1,26-08-2020,7072023,,31072023,800000,535865,,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,XXX,XXX,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,STD,0,STD,STD,STD,STD,STD,STD,1072023,1082020,,,,,,,,180,,,,,,,,,,,,,,22-04-2021,POONAHOU,33,8888888,,,,,,,Secured
TUEF,12,HF/0011/H/19/10001111,HF63511002,1,2924997108,5092023,11949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"602, 6th Floor, Zero One IT Park, Sr. No. 79/1, Ghorpadi, Mundhwa Road, Pune, Maharashtra 411036 · < 1 km",21,511980,5,,22022022,,,,,,,,,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,21-03-2022,POONAHOU,33,8888888,,,,,,,
TUEF,12,HF/0011/H/19/10001111,HF63511002,1,2924997108,5092023,11949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,06-11-2022,NOT DISCLOSED,33,8888888,,,,,,,
TUEF,12,HF/0011/H/19/10001111,HF63511002,1,2924997108,5092023,11949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,23-07-2019,NOT DISCLOSED,33,8888888,,,,,,,
TUEF,12,HF/0011/H/19/10001111,HF63511002,1,2924997108,5092023,11949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,22-07-2019,NOT DISCLOSED,33,8888888,,,,,,,
TUEF,12,HF/0011/H/19/10001111,HF63511002,1,2924997108,5092023,11949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,20-07-2022,NOT DISCLOSED,33,8888888,,,,,,,
TUEF,12,HF/0011/H/19/10001111,HF63511002,1,2924997108,5092023,11949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,07-06-2022,NOT DISCLOSED,33,8888888,,,,,,,
TUEF,12,HF/0011/H/19/10001111,HF63511002,1,2924997108,5092023,11949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,05-05-2022,NOT DISCLOSED,33,8888888,,,,,,,
TUEF,12,HF/0011/H/19/10000444,HF63511002,1,2924997109,5092023,11952,Virat Kohali,1121965,2,1,LMCDEF6768F,,,,9999999999,,4,,abc@gmail.com,2,31072021,2,,,,,,,,,,,,CIBILTUMN,5,19,5092021,450,,,,,,,,,,,45,,,,,,"602, 6th Floor, Zero One IT Park, Sr. No. 79/1, Ghorpadi, Mundhwa Road, Pune, Maharashtra 411036 · < 1 km",27,511980,5,,12062022,,,NOT DISCLOSED,,Consumer Loan,Closed,1,29-03-2022,2122022,5062023,31072023,31000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,1072023,1032022,,,,,,,,12,2584,,,,3,,,,,,,,,23-07-2019,NOT DISCLOSED,33,8888888,,,,,,,Unsecured
